coral;t0;t1;t2;t3;hook
Spi_A_1;2.764;3.017;3.367;3.774;0.916
Spi_B_1;1.937;1.999;2.146;2.395;0.944
Spi_C_1;3.7;3.884;4.384;5.107;0.899
Spi_D_1;2.322;2.351;2.442;2.45;0.904
Spi_E_1;2.535;2.686;2.882;3.202;0.935
Spi_F_1;2.552;2.686;2.846;3.076;0.912
Spi_A_2;2.713;2.903;3.191;3.73;0.878
Spi_B_2;2.361;2.45;2.501;2.743;1.102
Spi_C_2;2.449;2.581;2.94;3.68;0.956
Spi_D_2;2.43;2.47;2.427;2.44;0.956
Spi_E_2;2.127;2.193;2.321;2.552;0.926
Spi_F_2;1.877;1.95;2.002;2.206;0.956
Spi_A_3;2.257;2.477;2.736;3.035;0.926
Spi_B_3;1.734;1.773;1.832;1.974;0.923
Spi_C_3;4.369;4.617;5.16;6.081;0.894
Spi_D_3;2.853;2.855;2.948;2.863;0.955
Spi_E_3;2.684;2.843;2.958;3.233;0.964
Spi_F_3;3.066;3.164;3.297;3.515;2.025
Spi_A_4;2.678;2.963;3.21;3.778;0.946
Spi_B_4;2.116;2.212;2.306;2.626;0.956
Spi_C_4;3.445;3.718;4.308;5.527;0.89
Spi_D_4;1.788;1.854;1.819;1.88;0.96
Spi_E_4;2.696;2.9;3.14;3.682;0.881
Spi_F_4;2.913;3.051;3.211;3.547;0.901
Spi_A_5;2.716;2.9;3.082;3.479;0.947
Spi_B_5;1.69;1.727;1.792;1.92;0.87
Spi_C_5;3.758;3.964;4.5;5.468;0.935
Spi_D_5;2.408;2.431;2.457;2.493;0.912
Spi_E_5;2.333;2.409;2.486;2.602;0.984
Spi_F_5;3.073;3.109;3.236;3.393;1.649
Spi_A_6;2.361;2.56;2.783;3.14;0.896
Spi_B_6;2.5;2.624;2.807;3.282;0.881
Spi_C_6;2.226;2.333;2.586;3.155;0.927
Spi_D_6;2.871;2.893;2.923;2.995;1.828
Spi_E_6;2.454;2.555;2.699;3.049;0.905
Spi_F_6;2.849;2.984;3.119;3.47;0.975
Spi_A_7;2.045;2.226;2.585;2.919;0.893
Spi_B_7;2.24;2.299;2.548;2.793;0.965
Spi_C_7;3.344;3.508;3.984;4.579;0.951
Spi_D_7;1.888;1.854;1.903;1.878;0.937
Spi_E_7;3.25;3.405;3.676;4.038;0.934
Spi_F_7;2.615;2.75;3.009;3.326;0.974
Spi_A_8;2.128;2.301;2.624;3.129;0.866
Spi_B_8;1.752;1.77;1.825;2.011;0.891
Spi_C_8;2.747;2.844;3.267;3.938;0.951
Spi_D_8;2.807;2.854;2.94;3.068;0.931
Spi_E_8;3.829;3.957;4.199;4.601;1.846
Spi_F_8;2.841;2.98;3.268;3.66;0.945
Spi_A_9;2.371;2.47;2.686;3.026;0.967
Spi_B_9;2.159;2.165;2.297;2.531;0.992
Spi_C_9;2.598;2.73;3.213;4.006;0.911
Spi_D_9;4.008;4.05;4.125;4.206;1.861
Spi_E_9;3.228;3.37;3.62;3.981;0.96
Spi_F_9;2.692;2.784;3.053;3.296;0.961
Spi_A_10;2.227;2.391;2.571;2.815;0.894
Spi_B_10;2.587;2.69;2.843;2.98;1.175
Spi_C_10;2.564;2.66;2.896;3.215;1.072
Spi_D_10;1.972;2.015;2.012;2.016;0.96
Spi_E_10;3.009;3.087;3.204;3.334;0.899
Spi_F_10;3.005;3.165;3.343;3.513;0.854
Spi_A_11;2.689;2.918;3.227;3.724;0.933
Spi_B_11;2.335;2.35;3.134;3.112;1.755
Spi_C_11;2.742;2.853;3.239;3.8;0.912
Spi_D_11;3.83;3.919;3.9;3.924;1.856
Spi_E_11;3.734;3.915;4.307;4.79;0.933
Spi_F_11;2.729;2.854;3.011;3.293;0.968
Spi_A_12;2.399;2.649;2.86;3.184;0.922
Spi_B_12;2.028;2.115;2.339;2.532;0.96
Spi_C_12;2.774;2.957;3.348;3.956;0.933
Spi_D_12;3.528;3.57;3.608;3.706;0.955
Spi_E_12;3.313;3.504;3.821;4.25;0.919
Spi_F_12;2.1;2.184;2.39;2.551;0.986
Spi_A_13;3.018;3.327;3.632;4.118;0.964
Spi_B_13;2.109;2.154;2.349;2.558;0.942
Spi_C_13;2.732;2.954;3.383;4.045;0.958
Spi_D_13;2.982;3.068;3.109;3.174;0.977
Spi_E_13;4.227;4.557;5.103;5.838;0.917
Spi_F_13;3.705;3.821;3.976;4.327;1.892
Spi_A_14;2.716;3.045;3.423;4.042;1.119
Spi_B_14;2.121;2.152;2.305;2.441;0.943
Spi_C_14;2.889;3.112;3.639;4.544;0.846
Spi_D_14;4.44;4.537;4.602;4.711;0.969
Spi_E_14;3.3;3.439;3.6;3.784;0.88
Spi_F_14;2.269;2.392;2.533;2.749;0.868
Spi_A_15;3.229;3.38;3.52;3.738;0.963
Spi_B_15;2.567;2.572;2.641;2.733;1.769
Spi_C_15;2.456;2.59;2.87;3.407;0.953
Spi_D_15;5.404;5.445;5.416;5.443;0.942
Spi_E_15;2.706;2.905;3.105;3.344;0.94
Spi_F_15;3.364;3.473;3.461;3.562;1.942
